name,team,bowlingStyle,Total_Innings_Bowled,Runs_Conceded,wickets,bowling_Average,balls_ Bowled,Economy,Bowling_Strike_Rate,Dot ball %
Mitchell Starc,Australia,Left arm Fast,3,102,3,34.0,72,8.5,24.0,40.3
Ruben Trumpelmann,Namibia,Left arm Fast,1,22,0,0.0,24,5.5,0.0,41.7
Shaheen Shah Afridi,Pakistan,Left arm Fast,7,155,11,14.1,151,6.2,13.7,46.4
Fareed Ahmad,Afghanistan,Left arm Fast medium,2,48,1,48.0,24,12.0,24.0,20.8
Fazalhaq Farooqi,Afghanistan,Left arm Fast medium,3,75,3,25.0,69,6.5,23.0,56.5
Fred Klaassen,Netherlands,Left arm Fast medium,8,191,8,23.9,180,6.4,22.5,51.7
Jan Frylinck,Namibia,Left arm Fast medium,3,72,3,24.0,66,6.5,22.0,36.4
Josh Little,Ireland,Left arm Fast medium,7,189,11,17.2,162,7.0,14.7,42.0
Mustafizur Rahman,Bangladesh,Left arm Fast medium,5,112,3,37.3,120,5.6,40.0,40.8
Obed McCoy,West Indies,Left arm Fast medium,3,71,1,71.0,57,7.5,57.0,45.6
Richard Ngarava,Zimbabwe,Left arm Fast medium,8,197,9,21.9,168,7.0,18.7,53.0
Trent Boult,New Zealand,Left arm Fast medium,5,148,8,18.5,120,7.4,15.0,46.7
Arshdeep Singh,India,Left arm Medium fast,6,156,10,15.6,120,7.8,12.0,45.8
Binura Fernando,Sri Lanka,Left arm Medium fast,3,65,2,32.5,53,7.4,26.5,43.4
JJ Smit,Namibia,Left arm Medium fast,3,79,3,26.3,66,7.2,22.0,40.9
Sam Curran,England,Left arm Medium fast,6,148,13,11.4,136,6.5,10.5,48.5
Shoriful Islam,Bangladesh,Left arm Medium fast,1,57,0,0.0,24,14.3,0.0,29.2
Wayne Parnell,South Africa,Left arm Medium fast,5,102,5,20.4,96,6.4,19.2,50.0
Tabraiz Shamsi,South Africa,Left arm Wrist spin,2,56,4,14.0,48,7.0,12.0,41.7
Adil Rashid,England,Legbreak,6,147,4,36.8,144,6.1,36.0,31.3
Chris Greaves,Scotland,Legbreak,1,18,0,0.0,12,9.0,0.0,8.3
Ish Sodhi,New Zealand,Legbreak,5,130,6,21.7,116,6.7,19.3,37.1
Karthik Meiyappan,U.A.E.,Legbreak,3,75,5,15.0,72,6.3,14.4,43.1
Liam Livingstone,England,Legbreak,5,96,3,32.0,72,8.0,24.0,26.4
Ryan Burl,Zimbabwe,Legbreak,3,48,0,0.0,30,9.6,0.0,20.0
Shadab Khan,Pakistan,Legbreak,7,165,11,15.0,156,6.3,14.2,37.8
Wanindu Hasaranga de Silva,Sri Lanka,Legbreak,8,199,15,13.3,186,6.4,12.4,39.8
Adam Zampa,Australia,Legbreak Googly,3,80,5,16.0,72,6.7,14.4,33.3
Gareth Delany,Ireland,Legbreak Googly,7,185,6,30.8,141,7.9,23.5,37.6
Rashid Khan,Afghanistan,Legbreak Googly,3,77,4,19.3,72,6.4,18.0,40.3
Shariz Ahmad,Netherlands,Legbreak Googly,2,32,1,32.0,24,8.0,24.0,29.2
Alzarri Joseph,West Indies,Right arm Fast,3,83,6,13.8,72,6.9,12.0,47.2
Anrich Nortje,South Africa,Right arm Fast,5,94,11,8.5,105,5.4,9.5,55.2
Brad Evans,Zimbabwe,Right arm Fast,2,57,2,28.5,42,8.1,21.0,33.3
Brandon Glover,Netherlands,Right arm Fast,3,60,7,8.6,53,6.8,7.6,54.7
Dushmantha Chameera,Sri Lanka,Right arm Fast,2,54,4,13.5,47,6.9,11.8,46.8
Haris Rauf,Pakistan,Right arm Fast,7,178,8,22.3,156,6.8,19.5,44.2
Kagiso Rabada,South Africa,Right arm Fast,5,151,2,75.5,96,9.4,48.0,39.6
Lahiru Kumara,Sri Lanka,Right arm Fast,6,153,7,21.9,121,7.6,17.3,49.6
Lockie Ferguson,New Zealand,Right arm Fast,5,159,7,22.7,114,8.4,16.3,37.7
Mark Wood,England,Right arm Fast,4,108,9,12.0,84,7.7,9.3,51.2
Mohammed Shami,India,Right arm Fast,6,143,6,23.8,120,7.2,20.0,50.0
Naseem Shah,Pakistan,Right arm Fast,7,162,3,54.0,156,6.2,52.0,47.4
Pat Cummins,Australia,Right arm Fast,4,132,3,44.0,96,8.3,32.0,47.9
Taskin Ahmed,Bangladesh,Right arm Fast,5,131,8,16.4,108,7.3,13.5,59.3
Barry McCarthy,Ireland,Right arm Fast medium,7,227,5,45.4,150,9.1,30.0,30.7
Bas de Leede,Netherlands,Right arm Fast medium,7,169,13,13.0,132,7.7,10.2,37.9
Ben Stokes,England,Right arm Fast medium,6,111,6,18.5,98,6.8,16.3,42.9
Blessing Muzarabani,Zimbabwe,Right arm Fast medium,7,199,12,16.6,156,7.7,13.0,45.5
Brad Wheal,Scotland,Right arm Fast medium,3,83,4,20.8,72,6.9,18.0,45.8
Cameron Green,Australia,Right arm Fast medium,1,13,0,0.0,12,6.5,0.0,58.3
Chris Jordan,England,Right arm Fast medium,2,70,5,14.0,48,8.8,9.6,35.4
Chris Woakes,England,Right arm Fast medium,6,172,5,34.4,120,8.6,24.0,37.5
Ebadot Hossain,Bangladesh,Right arm Fast medium,1,25,1,25.0,19,7.9,19.0,36.8
Josh Hazlewood,Australia,Right arm Fast medium,4,124,5,24.8,90,8.3,18.0,46.7
Kane Richardson,Australia,Right arm Fast medium,1,48,1,48.0,24,12.0,24.0,16.7
Luke Jongwe,Zimbabwe,Right arm Fast medium,3,59,2,29.5,30,11.8,15.0,20.0
Lungi Ngidi,South Africa,Right arm Fast medium,4,116,7,16.6,78,8.9,11.1,38.5
Mark Adair,Ireland,Right arm Fast medium,7,212,4,53.0,144,8.8,36.0,36.1
Mohammad Wasim,Pakistan,Right arm Fast medium,6,124,8,15.5,102,7.3,12.8,41.2
Odean Smith,West Indies,Right arm Fast medium,3,85,2,42.5,54,9.4,27.0,33.3
Paul van Meekeren,Netherlands,Right arm Fast medium,8,198,11,18.0,186,6.4,16.9,45.7
Tendai Chatara,Zimbabwe,Right arm Fast medium,7,155,4,38.8,138,6.7,34.5,42.0
Timm van der Gugten,Netherlands,Right arm Fast medium,2,60,1,60.0,36,10.0,36.0,19.4
Bhuvneshwar Kumar,India,Right arm Medium,6,115,4,28.8,112,6.2,28.0,61.6
