name,team,battingStyle,bowlingStyle,Total_Innings_Batted,Total_Runs,Total_Innings_Bowled,Strike_rate,Batting_Avg,wickets,Economy,balls_ Bowled,Bowling_Strike_Rate,Batting_Position
Aaron Finch,Australia,Right hand Bat,Slow Left arm Orthodox,3,107,,110.30927835051547,53.5,,,,,2
Alex Hales,England,Right hand Bat,Right arm Medium,6,212,,147.22222222222223,42.4,,,,,2
Alishan Sharafu,U.A.E.,Right hand Bat,Right arm Medium,1,4,,100,4,,,,,4
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,7,153,,124.39024390243902,21.857142857142858,,,,,2
Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,1,2,,66.66666666666666,2,,,,,8
Babar Azam,Pakistan,Right hand Bat,Right arm Offbreak,7,124,,93.23308270676691,17.714285714285715,,,,,2
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,7,125,,119.04761904761905,17.857142857142858,,,,,5
Brandon King,West Indies,Right hand Bat,"",2,79,,125.39682539682539,79,,,,,4
Chirag Suri,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",2,26,,66.66666666666666,13,,,,,2
Chundangapoyil Rizwan,U.A.E.,Right hand Bat,Legbreak Googly,3,45,,132.35294117647058,22.5,,,,,5
Craig Ervine,Zimbabwe,Left hand Bat,Right arm Offbreak,7,112,,89.60000000000001,16,,,,,2
Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,1,0,,0,0,,,,,4
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,1,15,,115.38461538461537,15,,,,,7
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,4,109,,128.23529411764707,54.5,,,,,6
David Miller,South Africa,Left hand Bat,Right arm Offbreak,3,78,,116.4179104477612,78,,,,,6
David Warner,Australia,Left hand Bat,Legbreak,4,44,,107.31707317073172,11,,,,,1
Dawid Malan,England,Left hand Bat,Legbreak,3,56,,82.35294117647058,28,,,,,5
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,1,0,,0,0,,,,,5
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,5,145,,116.93548387096774,36.25,,,,,2
Dinesh Karthik,India,Right hand Bat,Right arm Offbreak,3,14,,63.63636363636363,4.666666666666667,,,,,7
Divan la Cock,Namibia,Right hand Bat,Legbreak,2,9,,81.81818181818183,4.5,,,,,2
Evin Lewis,West Indies,Left hand Bat,"",3,42,,85.71428571428571,14,,,,,3
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,1,20,,125,20,,,,,3
Finn Allen,New Zealand,Right hand Bat,"",5,95,,186.27450980392157,19,,,,,1
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,3,121,,114.15094339622642,60.5,,,,,1
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,5,201,,158.26771653543307,40.2,,,,,4
Haider Ali,Pakistan,Right hand Bat,"",2,2,,40,1,,,,,6
Harry Brook,England,Right hand Bat,Right arm Medium,5,56,,96.55172413793103,11.2,,,,,5
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,6,68,,90.66666666666666,11.333333333333334,,,,,4
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,1,7,,41.17647058823529,7,,,,,1
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,2,36,,133.33333333333331,18,,,,,6
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,3,80,,96.3855421686747,26.666666666666668,,,,,3
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,5,53,,143.24324324324326,17.666666666666668,,,,,6
Johnson Charles,West Indies,Right hand Bat,"",2,69,,127.77777777777777,34.5,,,,,2
Jos Buttler,England,Right hand Bat,"",6,225,,144.23076923076923,45,,,,,1
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,5,178,,116.33986928104576,35.6,,,,,3
KL Rahul,India,Right hand Bat,"",6,128,,120.75471698113208,21.333333333333332,,,,,1
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,8,223,,142.94871794871796,31.857142857142858,,,,,2
Litton Das,Bangladesh,Right hand Bat,"",5,127,,142.69662921348313,25.4,,,,,3
Lorcan Tucker,Ireland,Right hand Bat,"",7,204,,125.15337423312884,40.8,,,,,3
Matthew Cross,Scotland,Right hand Bat,"",3,32,,96.96969696969697,10.666666666666666,,,,,3
Matthew Wade,Australia,Left hand Bat,Right arm Medium,3,15,,100,7.5,,,,,7
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,8,242,,112.55813953488372,34.57142857142857,,,,,2
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,3,110,,142.85714285714286,36.666666666666664,,,,,2
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,3,33,,100,11,,,,,1
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,7,65,,79.26829268292683,10.833333333333334,,,,,6
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,4,97,,144.77611940298507,24.25,,,,,4
Mohammad Rizwan,Pakistan,Right hand Bat,"",7,175,,109.375,25,,,,,1
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,3,31,,106.89655172413792,10.333333333333334,,,,,5
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,5,180,,114.64968152866241,36,,,,,1
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,3,25,,86.20689655172413,8.333333333333334,,,,,5
Nurul Hasan,Bangladesh,Right hand Bat,"",5,41,,97.61904761904762,10.25,,,,,7
Pathum Nissanka,Sri Lanka,Right hand Bat,"",7,214,,109.18367346938776,30.571428571428573,,,,,1
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,7,170,,133.85826771653544,28.333333333333332,,,,,1
Phil Salt,England,Right hand Bat,Right arm Offbreak,1,10,,111.11111111111111,10,,,,,3
Quinton de Kock,South Africa,Left hand Bat,"",5,124,,161.03896103896105,31,,,,,2
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,"",3,68,,136,22.666666666666668,,,,,2
Regis Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,8,45,,70.3125,5.625,,,,,3
Richie Berrington,Scotland,Right hand Bat,Right arm Medium fast,3,66,,117.85714285714286,22,,,,,4
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,4,141,,169.87951807228916,35.25,,,,,3
Rishabh Pant,India,Left hand Bat,"",2,9,,100,4.5,,,,,6
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,6,116,,106.42201834862387,19.333333333333332,,,,,2
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,3,39,,111.42857142857143,13,,,,,6
Scott Edwards,Netherlands,Right hand Bat,"",8,91,,87.5,15.166666666666666,,,,,6
Shamarh Brooks,West Indies,Right hand Bat,Legbreak,2,4,,33.33333333333333,2,,,,,6
Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,7,175,,118.24324324324324,43.75,,,,,4
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,3,49,,94.23076923076923,16.333333333333332,,,,,3
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,3,51,,106.25,17,,,,,1
Steven Smith,Australia,Right hand Bat,Legbreak Googly,1,4,,100,4,,,,,4
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",6,239,,189.68253968253967,59.75,,,,,4
Temba Bavuma,South Africa,Right hand Bat,Right arm Medium,5,70,,112.90322580645163,17.5,,,,,2
Tim David,Australia,Right hand Bat,Right arm Offbreak,2,26,,144.44444444444443,26,,,,,6
Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,8,107,,103.88349514563106,13.375,,,,,5
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,2,7,,70,3.5,,,,,5
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,3,31,,100,10.333333333333334,,,,,6
Usman Ghani,Afghanistan,Right hand Bat,"",3,59,,92.1875,19.666666666666668,,,,,3
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,5,57,,91.93548387096774,11.4,,,,,2
Virat Kohli,India,Right hand Bat,Right arm Medium,6,296,,136.40552995391707,98.66666666666667,,,,,3
Vriitya Aravind,U.A.E.,Right hand Bat,"",3,48,,67.6056338028169,16,,,,,4
Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,3,5,,55.55555555555556,2.5,,,,,7
Zane Green,Namibia,Left hand Bat,"",1,2,,66.66666666666666,2,,,,,8
Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,5,95,1,125,23.75,1,11,6,6,5
Ahmed Raza,U.A.E.,Right hand Bat,Slow Left arm Orthodox,,,1,,,0,9,6,0,
Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",3,48,1,111.62790697674419,16,0,11,6,0,6
