name,team,battingStyle,Total_Innings_Batted,Total_Runs,Average_Balls_Faced,Strike_rate,Batting_Avg,Batting_Position,Boundary%,Total_Innings_Dismissed,total_balls_faced
Afif Hossain,Bangladesh,Left hand Bat,5,95,15.2,125,23.75,5,44.21,4,76
Akeal Hosein,West Indies,Left hand Bat,2,24,9.5,126.3157894736842,24,8,33.33,1,19
Arshdeep Singh,India,Left hand Bat,1,2,1,200,0,11,0.00,0,1
Aryan Lakra,U.A.E.,Left hand Bat,1,1,3,33.33333333333333,1,3,0.00,1,3
Axar Patel,India,Left hand Bat,3,9,3,100,4.5,7,44.44,2,9
Ben Stokes,England,Left hand Bat,5,110,20.8,105.76923076923077,36.666666666666664,5,30.91,3,104
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,7,125,15,119.04761904761905,17.857142857142858,5,54.40,7,105
Charith Asalanka,Sri Lanka,Left hand Bat,7,131,16.142857142857142,115.929203539823,26.2,4,36.64,5,113
Craig Ervine,Zimbabwe,Left hand Bat,7,112,17.857142857142858,89.60000000000001,16,2,46.43,7,125
Danushka Gunathilaka,Sri Lanka,Left hand Bat,1,0,1,0,0,4,0.00,1,1
David Miller,South Africa,Left hand Bat,3,78,22.333333333333332,116.4179104477612,78,6,48.72,1,67
David Warner,Australia,Left hand Bat,4,44,10.25,107.31707317073172,11,1,54.55,4,41
Dawid Malan,England,Left hand Bat,3,56,22.666666666666668,82.35294117647058,28,5,14.29,2,68
Devon Conway,New Zealand,Left hand Bat,5,145,24.8,116.93548387096774,36.25,2,41.38,4,124
Evin Lewis,West Indies,Left hand Bat,3,42,16.333333333333332,85.71428571428571,14,3,33.33,3,49
Fakhar Zaman,Pakistan,Left hand Bat,1,20,16,125,20,3,60.00,1,16
Fareed Ahmad,Afghanistan,Left hand Bat,1,2,4,50,0,10,0.00,0,4
George Munsey,Scotland,Left hand Bat,3,121,35.333333333333336,114.15094339622642,60.5,1,52.89,2,106
Hazratullah Zazai,Afghanistan,Left hand Bat,1,7,17,41.17647058823529,7,1,57.14,1,17
James Neesham,New Zealand,Left hand Bat,5,53,7.4,143.24324324324326,17.666666666666668,6,37.74,3,37
Jan Frylinck,Namibia,Left hand Bat,3,101,31,108.6021505376344,33.666666666666664,6,29.70,3,93
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,3,21,6.666666666666667,105,7,4,76.19,3,20
Josh Hazlewood,Australia,Left hand Bat,1,1,1,100,0,11,0.00,0,1
Kagiso Rabada,South Africa,Left hand Bat,2,10,5,100,10,9,0.00,1,10
Kyle Mayers,West Indies,Left hand Bat,3,34,10,113.33333333333333,11.333333333333334,1,76.47,3,30
Lahiru Kumara,Sri Lanka,Left hand Bat,1,4,5,80,4,11,100.00,1,5
Matthew Wade,Australia,Left hand Bat,3,15,5,100,7.5,7,53.33,2,15
Michael van Lingen,Namibia,Left hand Bat,3,33,11,100,11,1,48.48,3,33
Milton Shumba,Zimbabwe,Left hand Bat,7,65,11.714285714285714,79.26829268292683,10.833333333333334,6,30.77,6,82
Mitchell Santner,New Zealand,Left hand Bat,3,27,5.333333333333333,168.75,27,7,44.44,1,16
Mitchell Starc,Australia,Left hand Bat,1,4,7,57.14285714285714,4,9,0.00,1,7
Moeen Ali,England,Left hand Bat,5,57,9.2,123.91304347826086,19,6,52.63,3,46
Mohammad Nawaz,Pakistan,Left hand Bat,5,68,12.8,106.25,13.6,6,58.82,5,64
Mustafizur Rahman,Bangladesh,Left hand Bat,2,9,2,225,0,11,66.67,0,4
Najibullah Zadran,Afghanistan,Left hand Bat,3,31,9.666666666666666,106.89655172413792,10.333333333333334,5,32.26,3,29
Najmul Hossain Shanto,Bangladesh,Left hand Bat,5,180,31.4,114.64968152866241,36,1,51.11,5,157
Nasum Ahmed,Bangladesh,Left hand Bat,1,7,6,116.66666666666667,7,9,57.14,1,6
Nicholas Pooran,West Indies,Left hand Bat,3,25,9.666666666666666,86.20689655172413,8.333333333333334,5,24.00,3,29
Obed McCoy,West Indies,Left hand Bat,1,2,3,66.66666666666666,0,11,0.00,0,3
Quinton de Kock,South Africa,Left hand Bat,5,124,15.4,161.03896103896105,31,2,75.81,4,77
Richard Ngarava,Zimbabwe,Left hand Bat,5,21,4,105,5.25,10,57.14,4,20
Rilee Rossouw,South Africa,Left hand Bat,4,141,20.75,169.87951807228916,35.25,3,63.83,4,83
Rishabh Pant,India,Left hand Bat,2,9,4.5,100,4.5,6,44.44,2,9
Ryan Burl,Zimbabwe,Left hand Bat,7,101,13.857142857142858,104.1237113402062,25.25,7,55.45,4,97
Sam Curran,England,Left hand Bat,2,12,7,85.71428571428571,12,7,50.00,1,14
Sean Williams,Zimbabwe,Left hand Bat,8,155,17.125,113.13868613138686,19.375,4,43.87,8,137
Shaheen Shah Afridi,Pakistan,Left hand Bat,3,22,4,183.33333333333331,11,9,63.64,2,12
Shakib Al Hasan,Bangladesh,Left hand Bat,5,44,9.2,95.65217391304348,8.8,4,27.27,5,46
Shan Masood,Pakistan,Left hand Bat,7,175,21.142857142857142,118.24324324324324,43.75,4,30.86,4,148
Shariz Ahmad,Netherlands,Left hand Bat,2,25,9.5,131.57894736842107,25,9,48.00,1,19
Soumya Sarkar,Bangladesh,Left hand Bat,4,49,9.75,125.64102564102564,12.25,3,61.22,4,39
Stephan Myburgh,Netherlands,Left hand Bat,3,51,16,106.25,17,1,74.51,3,48
Taskin Ahmed,Bangladesh,Left hand Bat,4,23,7.5,76.66666666666667,7.666666666666667,9,60.87,3,30
Vikramjit Singh,Netherlands,Left hand Bat,5,57,12.4,91.93548387096774,11.4,2,56.14,5,62
Wayne Parnell,South Africa,Left hand Bat,4,5,3.25,38.46153846153847,2.5,7,0.00,2,13
Wellington Masakadza,Zimbabwe,Left hand Bat,1,1,7,14.285714285714285,1,8,0.00,1,7
Zane Green,Namibia,Left hand Bat,1,2,3,66.66666666666666,2,8,0.00,1,3
Aaron Finch,Australia,Right hand Bat,3,107,32.333333333333336,110.30927835051547,53.5,2,50.47,2,97
Aayan Afzal Khan,U.A.E.,Right hand Bat,2,24,14,85.71428571428571,12,8,16.67,2,28
Adam Zampa,Australia,Right hand Bat,2,1,1.5,33.33333333333333,1,10,0.00,1,3
Aiden Markram,South Africa,Right hand Bat,4,99,19.75,125.31645569620254,24.75,5,58.59,4,79
Alex Hales,England,Right hand Bat,6,212,24,147.22222222222223,42.4,2,64.15,5,144
