name,team,battingStyle,Total_Runs,total_balls_faced,Batting_Avg,BattingPosition,Average_Balls_Faced,Total_Innings _Dismissed,Total_Innings_Batted,Boundary%,Strike_rate
Arshdeep Singh,India,Left hand Bat,2,1,0.0,11,1.0,0,1,0.0,200.0
Blessing Muzarabani,Zimbabwe,Right hand Bat,2,12,2.0,11,3.0,1,4,0.0,16.7
Fazalhaq Farooqi,Afghanistan,Right hand Bat,0,2,0.0,11,2.0,1,1,0.0,0.0
Josh Hazlewood,Australia,Left hand Bat,1,1,0.0,11,1.0,0,1,0.0,100.0
Josh Little,Ireland,Right hand Bat,16,21,8.0,11,5.3,2,4,62.5,76.2
Lahiru Kumara,Sri Lanka,Left hand Bat,4,5,4.0,11,5.0,1,1,100.0,80.0
Mustafizur Rahman,Bangladesh,Left hand Bat,9,4,0.0,11,2.0,0,2,66.7,225.0
Obed McCoy,West Indies,Left hand Bat,2,3,0.0,11,3.0,0,1,0.0,66.7
Paul van Meekeren,Netherlands,Right hand Bat,45,27,15.0,11,6.8,3,4,66.7,166.7
Tabraiz Shamsi,South Africa,Right hand Bat,1,1,0.0,11,1.0,0,1,0.0,100.0
Zahoor Khan,U.A.E.,Right hand Bat,1,1,0.0,11,1.0,0,1,0.0,100.0
Adam Zampa,Australia,Right hand Bat,1,3,1.0,10,1.5,1,2,0.0,33.3
Anrich Nortje,South Africa,Right hand Bat,5,6,5.0,10,3.0,1,2,80.0,83.3
Barry McCarthy,Ireland,Right hand Bat,36,33,18.0,10,6.6,2,5,44.4,109.1
Bernard Scholtz,Namibia,Right hand Bat,1,1,0.0,10,1.0,0,1,0.0,100.0
Dushmantha Chameera,Sri Lanka,Right hand Bat,9,16,9.0,10,8.0,1,2,0.0,56.3
Fareed Ahmad,Afghanistan,Left hand Bat,2,4,0.0,10,4.0,0,1,0.0,50.0
Fred Klaassen,Netherlands,Right hand Bat,10,11,3.3,10,2.8,3,4,0.0,90.9
Haris Rauf,Pakistan,Right hand Bat,10,7,10.0,10,2.3,1,3,60.0,142.9
Hasan Mahmud,Bangladesh,Right hand Bat,0,5,0.0,10,2.5,1,2,0.0,0.0
Junaid Siddique,U.A.E.,Right hand Bat,18,17,18.0,10,8.5,1,2,55.6,105.9
Kasun Rajitha,Sri Lanka,Right hand Bat,8,21,0.0,10,21.0,0,1,0.0,38.1
Lungi Ngidi,South Africa,Right hand Bat,4,1,0.0,10,1.0,0,1,100.0,400.0
Maheesh Theekshana,Sri Lanka,Right hand Bat,11,14,11.0,10,4.7,1,3,54.5,78.6
Mohammed Shami,India,Right hand Bat,0,2,0.0,10,2.0,1,1,0.0,0.0
Richard Ngarava,Zimbabwe,Left hand Bat,21,20,5.3,10,4.0,4,5,57.1,105.0
Tendai Chatara,Zimbabwe,Right hand Bat,13,19,6.5,10,6.3,2,3,30.8,68.4
Alzarri Joseph,West Indies,Right hand Bat,0,1,0.0,9,1.0,1,1,0.0,0.0
Bhuvneshwar Kumar,India,Right hand Bat,4,6,0.0,9,6.0,0,1,0.0,66.7
Brad Evans,Zimbabwe,Right hand Bat,21,17,10.5,9,8.5,2,2,28.6,123.5
Fionn Hand,Ireland,Right hand Bat,12,11,4.0,9,3.7,3,3,66.7,109.1
Kagiso Rabada,South Africa,Left hand Bat,10,10,10.0,9,5.0,1,2,0.0,100.0
Kane Richardson,Australia,Right hand Bat,1,1,1.0,9,1.0,1,1,0.0,100.0
Karthik Meiyappan,U.A.E.,Right hand Bat,4,8,4.0,9,4.0,1,2,0.0,50.0
Logan van Beek,Netherlands,Right hand Bat,15,23,7.5,9,5.8,2,4,0.0,65.2
Mark Adair,Ireland,Right hand Bat,28,31,5.6,9,6.2,5,5,35.7,90.3
Mitchell Starc,Australia,Left hand Bat,4,7,4.0,9,7.0,1,1,0.0,57.1
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,1,3,0.5,9,1.5,2,2,0.0,33.3
Naseem Shah,Pakistan,Right hand Bat,5,3,0.0,9,3.0,0,1,0.0,166.7
Nasum Ahmed,Bangladesh,Left hand Bat,7,6,7.0,9,6.0,1,1,57.1,116.7
Naveen-ul-Haq,Afghanistan,Right hand Bat,0,0,0.0,9,0.0,0,1,0.0,0.0
Odean Smith,West Indies,Right hand Bat,25,22,25.0,9,7.3,1,3,64.0,113.6
Pramod Madushan,Sri Lanka,Right hand Bat,1,1,1.0,9,0.5,1,2,0.0,100.0
Ruben Trumpelmann,Namibia,Right hand Bat,25,24,0.0,9,24.0,0,1,40.0,104.2
Shaheen Shah Afridi,Pakistan,Left hand Bat,22,12,11.0,9,4.0,2,3,63.6,183.3
Shariz Ahmad,Netherlands,Left hand Bat,25,19,25.0,9,9.5,1,2,48.0,131.6
Simi Singh,Ireland,Right hand Bat,7,9,7.0,9,4.5,1,2,57.1,77.8
Taskin Ahmed,Bangladesh,Left hand Bat,23,30,7.7,9,7.5,3,4,60.9,76.7
Tim Southee,New Zealand,Right hand Bat,5,3,0.0,9,1.5,0,2,80.0,166.7
Aayan Afzal Khan,U.A.E.,Right hand Bat,24,28,12.0,8,14.0,2,2,16.7,85.7
Akeal Hosein,West Indies,Left hand Bat,24,19,24.0,8,9.5,1,2,33.3,126.3
Asif Ali,Pakistan,Right hand Bat,2,3,2.0,8,3.0,1,1,0.0,66.7
Azmatullah Omarzai,Afghanistan,Right hand Bat,11,10,11.0,8,5.0,1,2,36.4,110.0
Chamika Karunaratne,Sri Lanka,Right hand Bat,32,38,8.0,8,6.3,4,6,37.5,84.2
Chris Woakes,England,Right hand Bat,5,3,0.0,8,3.0,0,1,80.0,166.7
Ish Sodhi,New Zealand,Right hand Bat,7,7,7.0,8,3.5,1,2,0.0,100.0
JJ Smit,Namibia,Right hand Bat,39,23,39.0,8,7.7,1,3,61.5,169.6
Josh Davey,Scotland,Right hand Bat,4,3,0.0,8,3.0,0,1,0.0,133.3
Keshav Maharaj,South Africa,Right hand Bat,13,12,13.0,8,12.0,1,1,46.2,108.3
Luke Jongwe,Zimbabwe,Right hand Bat,55,41,18.3,8,10.3,3,4,54.5,134.1
Mohammad Wasim,Pakistan,Right hand Bat,16,22,8.0,8,7.3,2,3,50.0,72.7
Pat Cummins,Australia,Right hand Bat,21,20,10.5,8,10.0,2,2,66.7,105.0
Rashid Khan,Afghanistan,Right hand Bat,57,32,28.5,8,10.7,2,3,70.2,178.1
Ravichandran Ashwin,India,Right hand Bat,21,18,21.0,8,4.5,1,4,47.6,116.7
Roelof van der Merwe,Netherlands,Right hand Bat,5,12,2.5,8,3.0,2,4,0.0,41.7
Tim Pringle,Netherlands,Right hand Bat,51,58,10.2,8,9.7,5,6,19.6,87.9
Timm van der Gugten,Netherlands,Right hand Bat,0,1,0.0,8,1.0,1,1,0.0,0.0
Wanindu Hasaranga de Silva,Sri Lanka,Right hand Bat,25,34,5.0,8,5.7,5,6,32.0,73.5
Wellington Masakadza,Zimbabwe,Left hand Bat,1,7,1.0,8,7.0,1,1,0.0,14.3
Zane Green,Namibia,Left hand Bat,2,3,2.0,8,3.0,1,1,0.0,66.7
Axar Patel,India,Left hand Bat,9,9,4.5,7,3.0,2,3,44.4,100.0
Chris Greaves,Scotland,Right hand Bat,19,18,0.0,7,9.0,0,2,42.1,105.6
